Order id,Tracking number,Carrier,Label Created Date,Delivered date,Events,Warehouse
8870037389532,288492490586,FedEx,07-01-2022 22:59,11-01-2022 23:25,"Status: delivered: Description: Delivered, date: 11-01-2022 23:25",iFulfill Warehouse
9870053395098,288569727521,FedEx,10-01-2022 22:49,15-01-2022 01:24,"Status: delivered: Description: Delivered, date: 15-01-2022 01:24",iFulfill Warehouse
9870053395098,288569727521,FedEx,10-01-2022 22:49,15-01-2022 01:24,"Status: delivered: Description: Delivered, date: 15-01-2022 01:24",iFulfill Warehouse
8870026651226,288571093350,FedEx,10-01-2022 23:06,14-01-2022 00:40,"Status: delivered: Description: Delivered, date: 14-01-2022 00:40",iFulfill Warehouse
8870026651226,288571093350,FedEx,10-01-2022 23:06,14-01-2022 00:40,"Status: delivered: Description: Delivered, date: 14-01-2022 00:40",iFulfill Warehouse
8870026651226,288571093350,FedEx,10-01-2022 23:06,14-01-2022 00:40,"Status: delivered: Description: Delivered, date: 14-01-2022 00:40",iFulfill Warehouse
9870043254111,288605030439,FedEx,11-01-2022 18:23,17-01-2022 01:00,"Status: delivered: Description: Delivered, date: 17-01-2022 01:00",iFulfill Warehouse
8870026936053,288605392045,FedEx,11-01-2022 18:33,13-01-2022 21:57,"Status: delivered: Description: Delivered, date: 13-01-2022 21:57",iFulfill Warehouse
8863652824894,288605760772,FedEx,11-01-2022 18:42,14-01-2022 21:06,"Status: delivered: Description: Delivered, date: 14-01-2022 21:06",iFulfill Warehouse
8870039573532,288606030700,FedEx,11-01-2022 18:48,15-01-2022 03:15,"Status: delivered: Description: Delivered, date: 15-01-2022 03:15",iFulfill Warehouse
8870039573532,288606030700,FedEx,11-01-2022 18:48,15-01-2022 03:15,"Status: delivered: Description: Delivered, date: 15-01-2022 03:15",iFulfill Warehouse
8870039573532,288606030700,FedEx,11-01-2022 18:48,15-01-2022 03:15,"Status: delivered: Description: Delivered, date: 15-01-2022 03:15",iFulfill Warehouse
8870039573532,288606030700,FedEx,11-01-2022 18:48,15-01-2022 03:15,"Status: delivered: Description: Delivered, date: 15-01-2022 03:15",iFulfill Warehouse
8870039573532,288606030700,FedEx,11-01-2022 18:48,15-01-2022 03:15,"Status: delivered: Description: Delivered, date: 15-01-2022 03:15",iFulfill Warehouse
8870039573532,288606030700,FedEx,11-01-2022 18:48,15-01-2022 03:15,"Status: delivered: Description: Delivered, date: 15-01-2022 03:15",iFulfill Warehouse
9870053449612,288611465429,FedEx,11-01-2022 20:35,19-01-2022 22:41,"Status: delivered: Description: Delivered, date: 19-01-2022 22:41",iFulfill Warehouse
8870038245272,288619250020,FedEx,11-01-2022 22:37,18-01-2022 22:17,"Status: delivered: Description: Delivered, date: 18-01-2022 22:17",iFulfill Warehouse
8870038245272,288619250020,FedEx,11-01-2022 22:37,18-01-2022 22:17,"Status: delivered: Description: Delivered, date: 18-01-2022 22:17",iFulfill Warehouse
8870038245272,288619250020,FedEx,11-01-2022 22:37,18-01-2022 22:17,"Status: delivered: Description: Delivered, date: 18-01-2022 22:17",iFulfill Warehouse
8870038245272,288619250020,FedEx,11-01-2022 22:37,18-01-2022 22:17,"Status: delivered: Description: Delivered, date: 18-01-2022 22:17",iFulfill Warehouse
8870038245272,288619250020,FedEx,11-01-2022 22:37,18-01-2022 22:17,"Status: delivered: Description: Delivered, date: 18-01-2022 22:17",iFulfill Warehouse
1870081790742,288627354689,FedEx,12-01-2022 00:43,14-01-2022 23:16,"Status: delivered: Description: Delivered, date: 14-01-2022 23:16",iFulfill Warehouse
1870095449498,288695306614,FedEx,13-01-2022 18:31,20-01-2022 20:30,"Status: delivered: Description: Delivered, date: 20-01-2022 20:30",iFulfill Warehouse
1870093887552,288709813594,FedEx,13-01-2022 23:04,22-01-2022 02:40,"Status: delivered: Description: Delivered, date: 22-01-2022 02:40",iFulfill Warehouse
9870042460847,288709993079,FedEx,13-01-2022 23:07,18-01-2022 01:44,"Status: delivered: Description: Delivered, date: 18-01-2022 01:44",iFulfill Warehouse
1870107533060,288711641544,FedEx,13-01-2022 23:35,18-01-2022 22:36,"Status: delivered: Description: Delivered, date: 18-01-2022 22:36",iFulfill Warehouse
9870079516787,288711836172,FedEx,13-01-2022 23:38,16-01-2022 21:37,"Status: delivered: Description: Delivered, date: 16-01-2022 21:37",iFulfill Warehouse
9870066375172,288807676940,FedEx,17-01-2022 19:26,18-01-2022 21:58,"Status: delivered: Description: Delivered, date: 18-01-2022 21:58",iFulfill Warehouse
1870117432241,288807916313,FedEx,17-01-2022 19:31,21-01-2022 05:32,"Status: delivered: Description: Delivered, date: 21-01-2022 05:32",iFulfill Warehouse
1870117432241,288807916313,FedEx,17-01-2022 19:31,21-01-2022 05:32,"Status: delivered: Description: Delivered, date: 21-01-2022 05:32",iFulfill Warehouse
1870082116451,288868299091,FedEx,18-01-2022 23:09,,"Status: in_transit: Description: Departed FedEx location, date: 26-01-2022 14:18",iFulfill Warehouse
1870106463884,288918004863,FedEx,20-01-2022 00:00,21-01-2022 23:18,"Status: delivered: Description: Delivered, date: 21-01-2022 23:18",iFulfill Warehouse
3870176879170,289076542943,FedEx,24-01-2022 22:50,,"Status: out_for_delivery: Description: On FedEx vehicle for delivery, date: 26-01-2022 16:27",iFulfill Warehouse
8863666207717,9400111107984504150611,USPS,11-01-2022 01:28,14-01-2022 18:36,"Status: delivered: Description: January 14 1:36 pm Delivered, In/At Mailbox in LITTLE ROCK, AR, date: 14-01-2022 18:36",iFulfill Warehouse
8870028310865,9400111107984504482880,USPS,11-01-2022 01:35,15-01-2022 18:02,"Status: delivered: Description: January 15 1:02 pm Delivered, In/At Mailbox in DAVENPORT, IA, date: 15-01-2022 18:02",iFulfill Warehouse
8863652757132,9400111107984504615264,USPS,11-01-2022 01:37,13-01-2022 23:31,"Status: delivered: Description: January 13 6:31 pm Delivered, In/At Mailbox in DENVER, CO, date: 13-01-2022 23:31",iFulfill Warehouse
8863652925845,9400111107984504668352,USPS,11-01-2022 01:41,15-01-2022 17:31,"Status: delivered: Description: January 15 12:31 pm Delivered, In/At Mailbox in WAVERLY, AL, date: 15-01-2022 17:31",iFulfill Warehouse
9870041664082,9400111107984504690346,USPS,11-01-2022 01:39,13-01-2022 19:19,"Status: delivered: Description: January 13 2:19 pm Delivered, Front Door/Porch in SILVER SPRING, MD, date: 13-01-2022 19:19",iFulfill Warehouse
9870053651157,9400111107984504902715,USPS,11-01-2022 01:48,13-01-2022 20:49,"Status: delivered: Description: January 13 3:49 pm Delivered, In/At Mailbox in TUCSON, AZ, date: 13-01-2022 20:49",iFulfill Warehouse
7870029997778,9400111107984504928852,USPS,11-01-2022 01:46,13-01-2022 23:11,"Status: delivered: Description: January 13 6:11 pm Delivered, In/At Mailbox in LONG BEACH, CA, date: 13-01-2022 23:11",iFulfill Warehouse
